iso3,year,variable,value,source_name,source_url,notes,used_in_panel,live_source_check
BEL,2010,foreign_born,1503806,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2011,foreign_born,1628793,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2012,foreign_born,1677737,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2013,foreign_born,1722265,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2014,foreign_born,1748748,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2015,foreign_born,1783488,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2016,foreign_born,1845631,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2017,foreign_born,1876726,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2018,foreign_born,1916272,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2019,foreign_born,1968060,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2020,foreign_born,2027763,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2021,foreign_born,2065727,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2022,foreign_born,2119691,Eurostat [migr_pop3ctb],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; c_birth=FOR (born in a foreign country),yes,EXACT
BEL,2010,foreign_nationals,1052844,Eurostat [migr_pop1ctz],https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&geo=BE&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,stock at 1 Jan; citizen=FOR_STLS (foreign citizens incl. stateless),yes,EXACT
