file,publisher,description,query_url,bytes,path
UN_DESA_IMS2024_stock_by_sex_and_destination.xlsx,UN DESA,"International Migrant Stock 2024, stock by sex and destination",https://www.un.org/development/desa/pd/sites/www.un.org.development.desa.pd/files/undesa_pd_2024_ims_stock_by_sex_and_destination.xlsx,541936,evidence/api/UN_DESA_IMS2024_stock_by_sex_and_destination.xlsx
UN_WPP2024_demographic_indicators_compact.xlsx,UN DESA,"World Population Prospects 2024, compact demographic indicators",https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/EXCEL_FILES/1_General/WPP2024_GEN_F01_DEMOGRAPHIC_INDICATORS_COMPACT.xlsx,26142942,evidence/api/UN_WPP2024_demographic_indicators_compact.xlsx
eurostat_migr_eipre.json,Eurostat,"Third-country nationals found illegally present (migr_eipre), annual, 2010-2022",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?format=JSON&lang=EN&age=TOTAL&sex=T&unit=PER&citizen=TOTAL&sinceTimePeriod=2010&untilTimePeriod=2022,25120,evidence/api/eurostat_migr_eipre.json
eurostat_migr_eipre_CH_PT_SE_2010_2023.json,Eurostat,migr_eipre for CH/PT/SE extended to 2023 - the evidence for the one-year offset correction,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_eipre?...&geo=CH&geo=PT&geo=SE&sinceTimePeriod=2010&untilTimePeriod=2023,3861,evidence/api/eurostat_migr_eipre_CH_PT_SE_2010_2023.json
eurostat_migr_pop1ctz.json,Eurostat,"Population by citizenship, foreign + stateless (migr_pop1ctz), 1 Jan, 2010-2022",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop1ctz?format=JSON&lang=EN&age=TOTAL&sex=T&unit=NR&citizen=FOR_STLS&sinceTimePeriod=2010&untilTimePeriod=2022,10055,evidence/api/eurostat_migr_pop1ctz.json
eurostat_migr_pop3ctb.json,Eurostat,"Population by country of birth, foreign-born (migr_pop3ctb), 1 Jan, 2010-2022",https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/migr_pop3ctb?format=JSON&lang=EN&age=TOTAL&sex=T&unit=NR&c_birth=FOR&sinceTimePeriod=2010&untilTimePeriod=2022,10087,evidence/api/eurostat_migr_pop3ctb.json
wb_SM_POP_TOTL.json,World Bank WDI,"International migrant stock (SM.POP.TOTL), all countries 2010-2022",https://api.worldbank.org/v2/country/all/indicator/SM.POP.TOTL?format=json&date=2010:2022&per_page=20000,740720,evidence/api/wb_SM_POP_TOTL.json
wb_SP_POP_TOTL.json,World Bank WDI,"Total population (SP.POP.TOTL), all countries 2010-2022",https://api.worldbank.org/v2/country/all/indicator/SP.POP.TOTL?format=json&date=2010:2022&per_page=20000,692519,evidence/api/wb_SP_POP_TOTL.json
oecd/AUS_B14.json,OECD,"International Migration Database, AUS, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/AUS.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",7107,evidence/api/oecd/AUS_B14.json
oecd/CHL_B14.json,OECD,"International Migration Database, CHL, measure B14 (foreign-born stock)","https://sdmx.oecd.org/public/rest/data/OECD.ELS.IMD,DSD_MIG*/CHL.W.A.B14._T._Z._Z.PS?startPeriod=2010&endPeriod=2022",6796,evidence/api/oecd/CHL_B14.json
